member_id,lastname,firstname,othenames,email,contact,dateofbirth,gender,identification,nationality,country_of_residence,membership_status,task_id
HSFA0001,Agwu,Florence,,transx_fa@gmail.com,27711234567,01/01/1980,Female,HS0001,Kenyan,South Africa,Active,7
HSIG0012,Githinji,Isaac,Jannah Ndiritu,transx_gi@gmail.com,27721234567,02/01/1980,Male,HS0013,South African,South Africa,Active ,4
HSJK0030,Kibue,Joseph,Kimani,transxjk@gmail.com,27731234567,03/01/1980,Male,HS0031,Kenyan,South Africa,Active ,5
HSSK0032,Kimangu,Sally,Wanjiku,transxsw@gmail.com,27741234567,04/01/1980,Female,HS0033,Kenyan,South Africa,Active ,5
HSBM0042,Maina,Bernard,Maina,transxbm@gmail.com,27751234567,05/01/1980,Male,HS0045,South African,South Africa,Active ,3
HSGM0048,Mlimo,Grace,Mumo,transxgm@gmail.com,27761234567,06/01/1980,Female,HS0051,South African,South Africa,Active ,6
HSMN0069,Ngumi,Mwaniki,,transxgm@yahoo.com,27771234567,07/01/1980,Male,HS0075,Kenyan,South Africa,Active ,5
HSSN0071,Njau,Sammy,Karanja,transxskn@gmail.com,27781234567,08/01/1980,Male,HS0077,South African,South Africa,Active ,4
HSEN0076,Njuguna,Erick,Paul,transxepn@gmail.com,27791234567,09/01/1980,Male,HS0082,Kenyan,South Africa,Active ,7
HSJW0085,Waruingi,John,Kiragu,transxjkw@gmail.com,27734829924,22/09/1984,Male,AK491858,Kenyan,South Africa,Active ,3
